#NO,Symbol,Name,Atomic Weight,Notes
1,H,Hydrogen,1.008,"3, 5"
2,He,Helium,4.002 602(2),"1, 2"
3,Li,Lithium,6.94,"3, 5"
4,Be,Beryllium,9.012 1831(5),
5,B,Boron,10.81,"3, 5"
6,C,Carbon,12.011,5
7,N,Nitrogen,14.007,5
8,O,Oxygen,15.999,5
9,F,Fluorine,18.998 403 163(6),
10,Ne,Neon,20.1797(6),"1, 3"
11,Na,Sodium,22.989 769 28(2),
12,Mg,Magnesium,24.305,5
13,Al,Aluminium,26.981 5385(7),
14,Si,Silicon,28.085,5
15,P,Phosphorus,30.973 761 998(5),
16,S,Sulfur,32.06,5
17,Cl,Chlorine,35.45,"3, 5"
18,Ar,Argon,39.948(1),"1, 2"
19,K,Potassium,39.0983(1),
20,Ca,Calcium,40.078(4),
21,Sc,Scandium,44.955 908(5),
22,Ti,Titanium,47.867(1),
23,V,Vanadium,50.9415(1),
24,Cr,Chromium,51.9961(6),
25,Mn,Manganese,54.938 044(3),
26,Fe,Iron,55.845(2),
27,Co,Cobalt,58.933 194(4),
28,Ni,Nickel,58.6934(4),2
29,Cu,Copper,63.546(3),2
30,Zn,Zinc,65.38(2),2
31,Ga,Gallium,69.723(1),
32,Ge,Germanium,72.630(8),
33,As,Arsenic,74.921 595(6),
34,Se,Selenium,78.971(8),
35,Br,Bromine,79.904,5
36,Kr,Krypton,83.798(2),"1, 3"
37,Rb,Rubidium,85.4678(3),1
38,Sr,Strontium,87.62(1),"1, 2"
39,Y,Yttrium,88.905 84(2),
40,Zr,Zirconium,91.224(2),1
41,Nb,Niobium,92.906 37(2),
42,Mo,Molybdenum,95.95(1),1
43,Tc,Technetium,[97],4
44,Ru,Ruthenium,101.07(2),1
45,Rh,Rhodium,102.905 50(2),
46,Pd,Palladium,106.42(1),1
47,Ag,Silver,107.8682(2),1
48,Cd,Cadmium,112.414(4),1
49,In,Indium,114.818(1),
50,Sn,Tin,118.710(7),1
51,Sb,Antimony,121.760(1),1
52,Te,Tellurium,127.60(3),1
53,I,Iodine,126.904 47(3),
54,Xe,Xenon,131.293(6),"1, 3"
55,Cs,Caesium,132.905 451 96(6),
56,Ba,Barium,137.327(7),
57,La,Lanthanum,138.905 47(7),1
58,Ce,Cerium,140.116(1),1
59,Pr,Praseodymium,140.907 66(2),
60,Nd,Neodymium,144.242(3),1
61,Pm,Promethium,[145],
62,Sm,Samarium,150.36(2),1
63,Eu,Europium,151.964(1),1
64,Gd,Gadolinium,157.25(3),1
65,Tb,Terbium,158.925 35(2),
66,Dy,Dysprosium,162.500(1),1
67,Ho,Holmium,164.930 33(2),
68,Er,Erbium,167.259(3),1
69,Tm,Thulium,168.934 22(2),
70,Yb,Ytterbium,173.045(10),1
71,Lu,Lutetium,174.9668(1),1
72,Hf,Hafnium,178.49(2),
73,Ta,Tantalum,180.947 88(2),
74,W,Tungsten,183.84(1),
75,Re,Rhenium,186.207(1),
76,Os,Osmium,190.23(3),1
77,Ir,Iridium,192.217(3),
78,Pt,Platinum,195.084(9),
79,Au,Gold,196.966 569(5),
80,Hg,Mercury,200.592(3),
81,Tl,Thallium,204.38,5
82,Pb,Lead,207.2(1),"1, 2"
83,Bi,Bismuth,208.980 40(1),
84,Po,Polonium,[209],4
85,At,Astatine,[210],4
86,Rn,Radon,[222],4
87,Fr,Francium,[223],4
88,Ra,Radium,[226],4
89,Ac,Actinium,[227],4
90,Th,Thorium,232.0377(4),"1, 4"
91,Pa,Protactinium,231.035 88(2),4
92,U,Uranium,238.028 91(3),"1, 3, 4"
93,Np,Neptunium,[237],4
94,Pu,Plutonium,[244],4
95,Am,Americium,[243],4
96,Cm,Curium,[247],4
97,Bk,Berkelium,[247],4
98,Cf,Californium,[251],4
99,Es,Einsteinium,[252],4
100,Fm,Fermium,[257],4
101,Md,Mendelevium,[258],4
102,No,Nobelium,[259],4
103,Lr,Lawrencium,[262],4
104,Rf,Rutherfordium,[267],4
105,Db,Dubnium,[270],4
106,Sg,Seaborgium,[269],4
107,Bh,Bohrium,[270],4
108,Hs,Hassium,[270],4
109,Mt,Meitnerium,[278],4
110,Ds,Darmstadtium,[281],4
111,Rg,Roentgenium,[281],4
112,Cn,Copernicium,[285],4
113,Nh,Nihonium,[286],4
114,Fl,Flerovium,[289],4
115,Mc,Moscovium,[289],4
116,Lv,Livermorium,[293],4
117,Ts,Tennessine,[293],4
118,Og,Oganesson,[294],4
